name,url
"AUTO PARTNER SPÓŁKA AKCYJNA (APR)Główny Rynek | WIG140, WIG-ESG, mWIG40TR, WIG-motoryzacja, WIG-Poland, mWIG40, WIG, CEEplus | części samochodowe",https://www.gpw.pl/spolka?isin=PLATPRT00018
BALTIC BRIDGE SPÓŁKA AKCYJNA (WIS)Główny Rynek | Działalność Inwestycyjna,https://www.gpw.pl/spolka?isin=PLARIEL00046
"BANCO SANTANDER S.A. (SAN)Główny Rynek | WIG-banki, WIG | banki komercyjne",https://www.gpw.pl/spolka?isin=ES0113900J37
"BANK HANDLOWY W WARSZAWIE SPÓŁKA AKCYJNA (BHW)Główny Rynek | WIG140, WIG-ESG, mWIG40TR, WIG-Poland, WIG-banki, mWIG40, WIG, CEEplus | banki komercyjne",https://www.gpw.pl/spolka?isin=PLBH00000012
"BANK MILLENNIUM SPÓŁKA AKCYJNA (MIL)Główny Rynek | WIG140, WIG-ESG, mWIG40TR, WIG30TR, WIG30, WIG-Poland, WIG-banki, mWIG40, WIG, CEEplus | banki komercyjne",https://www.gpw.pl/spolka?isin=PLBIG0000016
"BANK OCHRONY ŚRODOWISKA SPÓŁKA AKCYJNA (BOS)Główny Rynek | WIG140, sWIG80TR, WIG-Poland, WIG-banki, sWIG80, WIG | banki komercyjne",https://www.gpw.pl/spolka?isin=PLBOS0000019
"BANK POLSKA KASA OPIEKI SPÓŁKA AKCYJNA (PEO)Główny Rynek | WIG140, WIG-ESG, WIG.MS-FIN, WIG30TR, WIG30, WIG20TR, WIG-Poland, WIG-banki, WIG20, WIG, CEEplus | banki komercyjne",https://www.gpw.pl/spolka?isin=PLPEKAO00016
"BBI DEVELOPMENT SPÓŁKA AKCYJNA (BBD)Główny Rynek | WIG-Poland, WIG-nieruchomości, WIG | sprzedaż nieruchomości",https://www.gpw.pl/spolka?isin=PLNFI1200018
"BENEFIT SYSTEMS SPÓŁKA AKCYJNA (BFT)Główny Rynek | WIG140, WIG-ESG, mWIG40TR, WIG-Poland, mWIG40, WIG, CEEplus | rekreacja i wypoczynek - pozostałe",https://www.gpw.pl/spolka?isin=PLBNFTS00018
BEST SPÓŁKA AKCYJNA (BST)Główny Rynek | Wierzytelności,https://www.gpw.pl/spolka?isin=PLBEST000010
"BETACOM SPÓŁKA AKCYJNA (BCM)Główny Rynek | INNOVATOR, WIGtechTR, WIGtech, WIG-Poland, WIG-informatyka, WIG | oprogramowanie",https://www.gpw.pl/spolka?isin=PLBTCOM00016
"BIG CHEESE STUDIO SPÓŁKA AKCYJNA (BCS)Główny Rynek | WIG-gry, WIGtechTR, WIGtech, WIG-Poland, WIG, CEEplus | Gry",https://www.gpw.pl/spolka?isin=PLA340200015
BIO PLANET SPÓŁKA AKCYJNA (BIP)Główny Rynek | artykuły codziennego użytku,https://www.gpw.pl/spolka?isin=PLBIOPL00013
"BIOCELTIX SPÓŁKA AKCYJNA (BCX)Główny Rynek | WIG140, WIGtechTR, WIGtech, sWIG80TR, WIG-Poland, sWIG80, WIG | Biotechnologia",https://www.gpw.pl/spolka?isin=PLBCLTX00019
"BIOMAXIMA SPÓŁKA AKCYJNA (BMX)Główny Rynek | WIGtechTR, WIGtech, WIG-Poland, WIG | Biotechnologia",https://www.gpw.pl/spolka?isin=PLBIOMX00015
"BIOTON SPÓŁKA AKCYJNA (BIO)Główny Rynek | WIG140, sWIG80TR, WIG-leki, WIG-Poland, sWIG80, WIG | Produkcja Leków",https://www.gpw.pl/spolka?isin=PLBIOTN00029
BLUGO SPÓŁKA AKCYJNA (YOL)Główny Rynek | Pośrednictwo Finansowe,https://www.gpw.pl/spolka?isin=PLPRESC00018
"BNP PARIBAS BANK POLSKA SPÓŁKA AKCYJNA (BNP)Główny Rynek | WIG140, WIG-ESG, sWIG80TR, WIG-Poland, WIG-banki, sWIG80, WIG, CEEplus | banki komercyjne",https://www.gpw.pl/spolka?isin=PLBGZ0000010
"BOOMBIT SPÓŁKA AKCYJNA (BBT)Główny Rynek | WIG-gry, WIGtechTR, WIGtech, WIG-Poland, WIG | Gry",https://www.gpw.pl/spolka?isin=PLBMBIT00010
"BORYSZEW SPÓŁKA AKCYJNA (BRS)Główny Rynek | WIG140, sWIG80TR, WIG-Poland, sWIG80, WIG | hutnictwo metali nieżelaznych",https://www.gpw.pl/spolka?isin=PLBRSZW00011
"BOWIM SPÓŁKA AKCYJNA (BOW)Główny Rynek | WIG-Poland, WIG | wyroby hutnicze",https://www.gpw.pl/spolka?isin=PLBOWM000019
"BRAND 24 SPÓŁKA AKCYJNA (B24)Główny Rynek | WIGtechTR, WIGtech, WIG-Poland, WIG-informatyka, WIG | oprogramowanie",https://www.gpw.pl/spolka?isin=PLBRN2400013
BRASTER SPÓŁKA AKCYJNA (BRA)Główny Rynek | Sprzęt i Materiały Medyczne,https://www.gpw.pl/spolka?isin=PLBRSTR00014
BRITISH AUTOMOTIVE HOLDING SPÓŁKA AKCYJNA W UPADŁOŚCI (BAH)Główny Rynek | motoryzacja - pozostałe,https://www.gpw.pl/spolka?isin=PLMRVPL00016
"BUDIMEX SPÓŁKA AKCYJNA (BDX)Główny Rynek | WIG140, INNOVATOR, WIG-ESG, mWIG40TR, WIG30TR, WIG30, WIGdiv, WIG-Poland, WIG-budownictwo, mWIG40, WIG, CEEplus | budownictwo ogólne",https://www.gpw.pl/spolka?isin=PLBUDMX00013
"BUMECH SPÓŁKA AKCYJNA (BMC)Główny Rynek | WIG140, WIG-ESG, mWIG40TR, WIG-Poland, mWIG40, WIG, CEEplus | urządzenia mechaniczne",https://www.gpw.pl/spolka?isin=PLBMECH00012
CAPITAL PARTNERS SPÓŁKA AKCYJNA (CPA)Główny Rynek | Działalność Inwestycyjna,https://www.gpw.pl/spolka?isin=PLCPTLP00015
CAPITEA SPÓŁKA AKCYJNA (CAP)Główny Rynek | Wierzytelności,https://www.gpw.pl/spolka?isin=PLGTBCK00297
"CAPTOR THERAPEUTICS SPÓŁKA AKCYJNA (CTX)Główny Rynek | WIG140, WIGtechTR, WIGtech, sWIG80TR, WIG-Poland, sWIG80, WIG | Biotechnologia",https://www.gpw.pl/spolka?isin=PLCPTRT00014
"CASPAR ASSET MANAGEMENT SPÓŁKA AKCYJNA (CSR)Główny Rynek | WIG-Poland, WIG | zarządzanie aktywami",https://www.gpw.pl/spolka?isin=PLCSPAM00017
"CAVATINA HOLDING SPÓŁKA AKCYJNA (CAV)Główny Rynek | WIG-Poland, WIG-nieruchomości, WIG | wynajem nieruchomości",https://www.gpw.pl/spolka?isin=PLCVTNH00040
"CCC SPÓŁKA AKCYJNA (CCC)Główny Rynek | WIG140, INNOVATOR, WIG-ESG, mWIG40TR, WIG-odzież, WIG30TR, WIG30, WIG-Poland, mWIG40, WIG, CEEplus | odzież i obuwie",https://www.gpw.pl/spolka?isin=PLCCC0000016
